0 	 P 	 Q
0  0.0000  0.0000
1  0.3003  0.1420
2  0.3160  0.1461
3  0.3281  0.1486
4  0.3409  0.1508
5  0.3476  0.1521
6  0.3578  0.1533
7  0.3622  0.1508
8  0.3641  0.1505
9  0.3690  0.1502
10  0.3717  0.1490
11  0.3746  0.1486
12  0.3743  0.1490
13  0.3753  0.1465
14  0.3789  0.1464
15  0.3780  0.1470
16  0.3780  0.1459
17  0.3779  0.1450
18  0.3811  0.1452
19  0.3797  0.1439
20  0.3805  0.1438
21  0.3813  0.1448
22  0.3833  0.1445
23  0.3856  0.1462
24  0.3833  0.1456
25  0.3842  0.1463
26  0.3821  0.1483
27  0.3835  0.1496
28  0.3840  0.1476
29  0.3841  0.1469
30  0.3841  0.1452
31  0.3844  0.1470
32  0.3850  0.1474
33  0.3848  0.1482
34  0.3854  0.1473
35  0.3849  0.1477
36  0.3847  0.1465
37  0.3847  0.1481
38  0.3855  0.1478
39  0.3854  0.1468
40  0.3857  0.1461
41  0.3860  0.1472
42  0.3855  0.1449
43  0.3845  0.1434
44  0.3844  0.1438
45  0.3850  0.1457
46  0.3852  0.1460
47  0.3833  0.1455
48  0.3880  0.1474
49  0.3845  0.1452
50  0.3836  0.1468
51  0.3853  0.1474
52  0.3875  0.1468
53  0.3850  0.1463
54  0.3836  0.1462
55  0.3856  0.1470
56  0.3859  0.1481
57  0.3855  0.1464
58  0.3864  0.1488
59  0.3854  0.1473
60  0.3851  0.1458
61  0.3864  0.1461
62  0.3857  0.1470
63  0.3857  0.1477
64  0.3852  0.1449
65  0.3833  0.1440
66  0.3851  0.1432
67  0.3864  0.1439
68  0.3852  0.1448
69  0.3862  0.1454
70  0.3854  0.1455
71  0.3852  0.1459
72  0.3839  0.1452
73  0.3856  0.1460
74  0.3848  0.1456
75  0.3865  0.1462
76  0.3853  0.1473
77  0.3871  0.1472
78  0.3844  0.1458
79  0.3833  0.1470
80  0.3849  0.1488
81  0.3839  0.1479
82  0.3841  0.1484
83  0.3837  0.1484
84  0.3853  0.1483
85  0.3838  0.1487
86  0.3853  0.1479
87  0.3841  0.1466
88  0.3857  0.1508
89  0.3847  0.1489
90  0.3855  0.1490
91  0.3837  0.1480
92  0.3847  0.1505
93  0.3845  0.1497
94  0.3836  0.1505
95  0.3846  0.1505
96  0.3847  0.1501
97  0.3865  0.1513
98  0.3849  0.1507
99  0.3868  0.1503
100  0.3864  0.1507
101  0.3856  0.1501
102  0.3862  0.1497
103  0.3862  0.1491
104  0.3875  0.1488
105  0.3859  0.1485
106  0.3830  0.1469
107  0.3859  0.1469
108  0.3861  0.1468
109  0.3861  0.1474
110  0.3868  0.1494
111  0.3846  0.1463
112  0.3865  0.1460
113  0.3862  0.1461
114  0.3833  0.1466
115  0.3854  0.1502
116  0.3848  0.1504
117  0.3841  0.1481
118  0.3870  0.1482
119  0.3843  0.1484
120  0.3865  0.1486
121  0.3858  0.1497
122  0.3876  0.1532
123  0.3849  0.1516
124  0.3872  0.1508
125  0.3844  0.1496
126  0.3841  0.1507
127  0.3849  0.1508
128  0.3869  0.1500
129  0.3872  0.1497
130  0.3850  0.1487
131  0.3865  0.1493
132  0.3873  0.1479
133  0.3841  0.1496
134  0.3846  0.1500
135  0.3856  0.1494
136  0.3839  0.1483
137  0.3867  0.1485
138  0.3852  0.1474
139  0.3848  0.1471
140  0.3862  0.1486
141  0.3850  0.1461
142  0.3842  0.1451
143  0.3868  0.1469
144  0.3856  0.1468
145  0.3867  0.1457
146  0.3872  0.1470
147  0.3864  0.1455
148  0.3866  0.1453
149  0.3857  0.1458
150  0.3861  0.1497
