0	P	Q
0  0.0000  0.0000
1  0.2984  0.1398
2  0.3164  0.1419
3  0.3288  0.1455
4  0.3416  0.1468
5  0.3477  0.1473
6  0.3576  0.1494
7  0.3630  0.1492
8  0.3656  0.1501
9  0.3699  0.1474
10  0.3746  0.1470
11  0.3745  0.1468
12  0.3726  0.1490
13  0.3764  0.1483
14  0.3790  0.1486
15  0.3767  0.1471
16  0.3784  0.1465
17  0.3799  0.1473
18  0.3822  0.1468
19  0.3806  0.1448
20  0.3817  0.1444
21  0.3835  0.1464
22  0.3834  0.1470
23  0.3859  0.1477
24  0.3842  0.1484
25  0.3852  0.1475
26  0.3823  0.1514
27  0.3825  0.1509
28  0.3844  0.1482
29  0.3840  0.1473
30  0.3854  0.1459
31  0.3826  0.1459
32  0.3868  0.1465
33  0.3845  0.1488
34  0.3855  0.1493
35  0.3824  0.1463
36  0.3842  0.1468
37  0.3851  0.1497
38  0.3867  0.1517
39  0.3879  0.1506
40  0.3859  0.1497
41  0.3863  0.1514
42  0.3859  0.1486
43  0.3830  0.1439
44  0.3841  0.1449
45  0.3845  0.1465
46  0.3866  0.1466
47  0.3841  0.1471
48  0.3884  0.1495
49  0.3848  0.1480
50  0.3846  0.1502
51  0.3860  0.1500
52  0.3868  0.1489
53  0.3859  0.1482
54  0.3834  0.1452
55  0.3867  0.1457
56  0.3860  0.1464
57  0.3858  0.1438
58  0.3838  0.1454
59  0.3866  0.1449
60  0.3853  0.1444
61  0.3873  0.1474
62  0.3835  0.1460
63  0.3873  0.1478
64  0.3844  0.1453
65  0.3826  0.1427
66  0.3853  0.1433
67  0.3887  0.1462
68  0.3846  0.1455
69  0.3867  0.1463
70  0.3842  0.1462
71  0.3844  0.1458
72  0.3836  0.1445
73  0.3861  0.1467
74  0.3847  0.1472
75  0.3877  0.1499
76  0.3847  0.1490
77  0.3883  0.1488
78  0.3863  0.1478
79  0.3855  0.1497
80  0.3846  0.1532
81  0.3825  0.1508
82  0.3826  0.1515
83  0.3847  0.1521
84  0.3857  0.1499
85  0.3849  0.1514
86  0.3840  0.1501
87  0.3860  0.1493
88  0.3848  0.1525
89  0.3839  0.1488
90  0.3837  0.1493
91  0.3848  0.1483
92  0.3843  0.1516
93  0.3856  0.1496
94  0.3848  0.1497
95  0.3875  0.1526
96  0.3841  0.1498
97  0.3862  0.1524
98  0.3840  0.1526
99  0.3866  0.1535
100  0.3853  0.1518
101  0.3854  0.1509
102  0.3892  0.1518
103  0.3856  0.1510
104  0.3875  0.1522
105  0.3866  0.1527
106  0.3836  0.1493
107  0.3861  0.1489
108  0.3849  0.1475
109  0.3856  0.1490
110  0.3865  0.1504
111  0.3824  0.1470
112  0.3861  0.1471
113  0.3881  0.1495
114  0.3838  0.1480
115  0.3874  0.1531
116  0.3850  0.1525
117  0.3839  0.1512
118  0.3877  0.1523
119  0.3829  0.1508
120  0.3851  0.1510
121  0.3853  0.1526
122  0.3872  0.1576
123  0.3854  0.1556
124  0.3866  0.1530
125  0.3844  0.1506
126  0.3851  0.1513
127  0.3827  0.1516
128  0.3877  0.1497
129  0.3867  0.1499
130  0.3860  0.1498
131  0.3870  0.1509
132  0.3863  0.1493
133  0.3833  0.1529
134  0.3843  0.1513
135  0.3844  0.1493
136  0.3847  0.1496
137  0.3879  0.1498
138  0.3850  0.1475
139  0.3845  0.1471
140  0.3840  0.1492
141  0.3835  0.1492
142  0.3832  0.1483
143  0.3856  0.1460
144  0.3861  0.1462
145  0.3877  0.1438
146  0.3887  0.1456
147  0.3868  0.1445
148  0.3874  0.1457
149  0.3863  0.1466
150  0.3869  0.1498
