0 	 com	lead	chief
0  0.0000  0.0000  0.0000
1  1.7175  3.5778  1.8440
2  1.8201  3.6973  1.6726
3  1.9051  3.7902  2.4448
4  1.9953  3.8973  2.6815
5  2.0600  3.9412  1.9138
6  2.1234  4.0440  1.8953
7  2.1638  4.0716  1.8850
8  2.1917  4.0783  1.9794
9  2.2392  4.1314  2.1989
10  2.2657  4.1616  2.5567
11  2.2883  4.1963  1.9756
12  2.3037  4.1891  2.0357
13  2.3139  4.1969  1.8444
14  2.3391  4.2485  2.3550
15  2.3444  4.2310  2.5566
16  2.3484  4.2297  2.0781
17  2.3538  4.2302  2.1561
18  2.3719  4.2756  2.1028
19  2.3698  4.2586  1.7022
20  2.3754  4.2678  2.5178
21  2.3798  4.2771  2.5790
22  2.3899  4.3067  2.2564
23  2.3987  4.3373  2.3921
24  2.3922  4.3027  2.3085
25  2.3950  4.3123  2.6651
26  2.3902  4.2806  2.6335
27  2.3960  4.3033  2.4449
28  2.3975  4.3079  2.2391
29  2.3980  4.3088  2.6548
30  2.3957  4.3084  2.5925
31  2.3991  4.3153  2.0363
32  2.3995  4.3242  1.8407
33  2.4015  4.3222  2.5191
34  2.4016  4.3269  2.3796
35  2.4023  4.3199  2.5889
36  2.4006  4.3175  2.3229
37  2.4020  4.3147  2.2225
38  2.4060  4.3302  2.6470
39  2.4030  4.3286  2.5102
40  2.4055  4.3326  2.6647
41  2.4065  4.3362  2.2422
42  2.4033  4.3301  2.3985
43  2.4004  4.3155  2.2629
44  2.4004  4.3140  2.8020
45  2.4032  4.3225  2.5383
46  2.4031  4.3244  2.2514
47  2.3953  4.2950  2.6577
48  2.4120  4.3602  2.3189
49  2.4003  4.3138  2.7432
50  2.3994  4.3021  2.7238
51  2.4062  4.3259  1.7761
52  2.4124  4.3562  2.3185
53  2.4034  4.3194  2.3301
54  2.3981  4.2978  2.3824
55  2.4048  4.3290  2.2632
56  2.4079  4.3347  2.6514
57  2.4036  4.3278  2.5154
58  2.4100  4.3421  2.5832
59  2.4045  4.3276  2.0476
60  2.4027  4.3202  2.5270
61  2.4062  4.3400  2.3808
62  2.4057  4.3314  2.3254
63  2.4066  4.3317  2.1279
64  2.4034  4.3251  2.0442
65  2.3962  4.2990  2.4758
66  2.4022  4.3249  2.2085
67  2.4067  4.3412  3.0860
68  2.4051  4.3259  2.3239
69  2.4070  4.3387  2.4668
70  2.4059  4.3281  2.7105
71  2.4030  4.3228  2.5163
72  2.4003  4.3044  2.6645
73  2.4041  4.3268  2.7358
74  2.4023  4.3147  1.9777
75  2.4037  4.3390  2.3852
76  2.4033  4.3231  2.5858
77  2.4082  4.3500  1.9167
78  2.3988  4.3110  1.7748
79  2.3963  4.2938  2.7874
80  2.4037  4.3196  2.7783
81  2.4005  4.3059  2.4489
82  2.4018  4.3076  2.1735
83  2.3999  4.3029  2.5091
84  2.4052  4.3274  2.7995
85  2.4019  4.3075  2.8668
86  2.4054  4.3261  2.3833
87  2.3991  4.3069  2.4463
88  2.4092  4.3330  2.4351
89  2.4046  4.3157  2.6476
90  2.4065  4.3270  2.2324
91  2.3990  4.3039  2.2401
92  2.4042  4.3179  2.2290
93  2.4035  4.3158  2.1653
94  2.4003  4.3023  1.7530
95  2.4043  4.3159  2.6440
96  2.4026  4.3171  2.5754
97  2.4095  4.3441  2.2554
98  2.4044  4.3170  2.0702
99  2.4100  4.3456  2.5663
100  2.4070  4.3411  2.2323
101  2.4055  4.3307  2.0926
102  2.4066  4.3378  2.1053
103  2.4060  4.3382  1.9658
104  2.4093  4.3551  2.3690
105  2.4055  4.3313  2.2378
106  2.3970  4.2888  2.7045
107  2.4035  4.3308  2.4486
108  2.4060  4.3336  2.6552
109  2.4068  4.3365  2.5937
110  2.4111  4.3487  2.0426
111  2.3991  4.3153  2.3163
112  2.4046  4.3424  2.1148
113  2.4068  4.3379  2.7359
114  2.3957  4.2964  2.0226
115  2.4052  4.3289  2.1512
116  2.4034  4.3188  2.4955
117  2.4014  4.3101  2.2284
118  2.4106  4.3522  2.6745
119  2.4013  4.3127  2.0164
120  2.4119  4.3465  2.4485
121  2.4097  4.3355  2.3630
122  2.4162  4.3615  2.2377
123  2.4073  4.3241  2.3222
124  2.4162  4.3549  2.3818
125  2.4040  4.3141  2.9857
126  2.4025  4.3094  2.1615
127  2.4052  4.3208  2.0232
128  2.4103  4.3483  2.4509
129  2.4129  4.3540  2.4335
130  2.4054  4.3229  2.2384
131  2.4110  4.3432  1.7020
132  2.4110  4.3523  2.4433
133  2.4026  4.3092  2.2242
134  2.4055  4.3187  3.0490
135  2.4087  4.3315  2.6406
136  2.4017  4.3069  2.8561
137  2.4108  4.3476  1.9628
138  2.4046  4.3261  2.3085
139  2.4040  4.3204  2.1097
140  2.4080  4.3390  1.9839
141  2.4047  4.3231  2.2669
142  2.3989  4.3086  2.5347
143  2.4102  4.3476  2.4725
144  2.4067  4.3322  2.7340
145  2.4084  4.3450  2.6686
146  2.4106  4.3519  2.3993
147  2.4086  4.3422  2.5222
148  2.4072  4.3417  2.1762
149  2.4059  4.3305  3.0086
150  2.4085  4.3364  2.6443
