0 	 com	lead	chief
0  0.0000  0.0000  0.0000
1  1.7000  3.5498  1.7112
2  1.8112  3.7063  1.4438
3  1.8941  3.7942  2.5716
4  1.9842  3.9048  2.3420
5  2.0593  3.9400  2.1303
6  2.1233  4.0402  1.7555
7  2.1725  4.0849  1.9439
8  2.1922  4.0945  2.7880
9  2.2379  4.1353  1.8473
10  2.2681  4.1982  2.5762
11  2.2833  4.1893  1.6249
12  2.3009  4.1635  1.6047
13  2.3186  4.2106  1.8952
14  2.3395  4.2529  2.0568
15  2.3366  4.2087  2.4632
16  2.3478  4.2347  2.3392
17  2.3586  4.2575  2.2222
18  2.3763  4.2896  1.9566
19  2.3730  4.2723  1.8337
20  2.3783  4.2822  3.0533
21  2.3902  4.3081  2.4913
22  2.3920  4.3042  2.3729
23  2.4007  4.3394  2.1098
24  2.3979  4.3166  1.6809
25  2.4000  4.3240  2.3761
26  2.3918  4.2823  3.0354
27  2.3925  4.2867  2.5062
28  2.3998  4.3150  2.1024
29  2.4000  4.3094  2.6542
30  2.3987  4.3266  2.2577
31  2.3930  4.2888  1.8318
32  2.4041  4.3496  1.7159
33  2.4010  4.3149  2.5194
34  2.4061  4.3287  2.1057
35  2.3930  4.2804  2.7810
36  2.3988  4.3088  2.3864
37  2.4043  4.3178  1.4043
38  2.4136  4.3463  2.7567
39  2.4129  4.3622  2.6220
40  2.4064  4.3312  2.6398
41  2.4090  4.3386  2.4977
42  2.4080  4.3342  2.6504
43  2.3935  4.2943  2.1235
44  2.3972  4.3096  2.6443
45  2.4011  4.3161  2.2603
46  2.4081  4.3447  2.5286
47  2.4011  4.3058  3.0639
48  2.4147  4.3637  1.9760
49  2.4055  4.3166  2.3935
50  2.4056  4.3162  2.3684
51  2.4107  4.3367  1.8409
52  2.4129  4.3463  2.3694
53  2.4083  4.3336  2.5398
54  2.3998  4.2946  2.5238
55  2.4079  4.3434  1.8572
56  2.4076  4.3361  2.8098
57  2.4019  4.3320  2.6791
58  2.3993  4.3036  2.2510
59  2.4059  4.3446  2.4040
60  2.4032  4.3252  2.9413
61  2.4122  4.3552  2.5237
62  2.3980  4.3020  1.9982
63  2.4143  4.3556  2.2762
64  2.4022  4.3143  2.2244
65  2.3932  4.2880  2.4077
66  2.4034  4.3265  2.4156
67  2.4159  4.3744  3.2277
68  2.4044  4.3178  2.1102
69  2.4104  4.3489  2.8209
70  2.4037  4.3122  2.7762
71  2.4004  4.3109  2.9177
72  2.3996  4.3002  2.9595
73  2.4061  4.3335  2.9463
74  2.4040  4.3156  2.2419
75  2.4091  4.3563  2.2395
76  2.4015  4.3135  2.3696
77  2.4120  4.3663  1.7130
78  2.4044  4.3378  1.5605
79  2.4024  4.3234  2.4982
80  2.4060  4.3137  2.7523
81  2.3960  4.2831  2.6257
82  2.3956  4.2851  2.3651
83  2.4039  4.3188  2.5005
84  2.4052  4.3337  3.0653
85  2.4054  4.3223  3.3274
86  2.3983  4.3081  2.2373
87  2.4044  4.3342  2.2310
88  2.4065  4.3219  2.2255
89  2.3982  4.3029  2.3740
90  2.3976  4.3020  2.6308
91  2.4025  4.3202  2.2441
92  2.4019  4.3110  2.6236
93  2.4050  4.3319  2.3780
94  2.4032  4.3188  1.8239
95  2.4144  4.3563  1.9689
96  2.4016  4.3112  2.3675
97  2.4088  4.3406  2.3770
98  2.4025  4.3040  2.0482
99  2.4101  4.3416  2.6056
100  2.4010  4.3248  2.2151
101  2.4020  4.3262  2.6211
102  2.4137  4.3805  1.9702
103  2.4063  4.3313  1.9663
104  2.4099  4.3570  2.5005
105  2.4089  4.3428  2.0832
106  2.3987  4.2987  2.7684
107  2.4047  4.3335  2.5147
108  2.3987  4.3159  2.9052
109  2.4050  4.3328  2.2490
110  2.4094  4.3475  2.1084
111  2.3905  4.2858  2.7701
112  2.4032  4.3377  1.9793
113  2.4137  4.3645  2.6391
114  2.3985  4.3016  1.6550
115  2.4141  4.3588  1.7863
116  2.4038  4.3204  2.4683
117  2.4015  4.3063  2.3470
118  2.4131  4.3602  2.2542
119  2.3972  4.2935  2.0580
120  2.4073  4.3278  2.3590
121  2.4089  4.3313  2.4846
122  2.4188  4.3573  2.8986
123  2.4125  4.3334  2.3823
124  2.4170  4.3469  2.2429
125  2.4046  4.3156  2.8017
126  2.4061  4.3253  2.3730
127  2.3979  4.2892  2.0697
128  2.4095  4.3603  2.8017
129  2.4099  4.3460  2.4989
130  2.4087  4.3365  2.3801
131  2.4116  4.3490  1.8278
132  2.4073  4.3392  2.5091
133  2.4017  4.2993  1.9443
134  2.4054  4.3175  3.4594
135  2.4058  4.3160  2.7833
136  2.4046  4.3203  2.2524
137  2.4141  4.3647  2.0925
138  2.4020  4.3235  2.3989
139  2.4026  4.3163  1.8323
140  2.4023  4.3089  1.8433
141  2.4030  4.2995  2.1076
142  2.3984  4.2950  2.0991
143  2.4058  4.3315  3.0934
144  2.4081  4.3386  2.6766
145  2.4107  4.3605  2.9507
146  2.4131  4.3739  2.3983
147  2.4089  4.3476  2.2573
148  2.4092  4.3537  2.2574
149  2.4092  4.3396  3.0889
150  2.4122  4.3456  2.6481
