0 	 p 	 q
0  0.5036  0.4950
1  0.4675  0.4218
2  0.4249  0.3565
3  0.3813  0.2772
4  0.3330  0.2468
5  0.2885  0.2228
6  0.2485  0.1811
7  0.2138  0.1771
8  0.1865  0.1471
9  0.1540  0.1289
10  0.1298  0.1173
11  0.1114  0.1043
12  0.0938  0.1027
13  0.0777  0.0952
14  0.0654  0.0740
15  0.0548  0.0860
16  0.0481  0.0728
17  0.0403  0.0612
18  0.0326  0.0450
19  0.0270  0.0471
20  0.0226  0.0444
21  0.0203  0.0494
22  0.0180  0.0523
23  0.0164  0.0550
24  0.0167  0.0481
25  0.0162  0.0494
26  0.0150  0.0498
27  0.0157  0.0491
28  0.0146  0.0481
29  0.0130  0.0527
30  0.0129  0.0470
31  0.0127  0.0508
32  0.0126  0.0433
33  0.0125  0.0366
34  0.0121  0.0370
35  0.0109  0.0331
36  0.0113  0.0386
37  0.0107  0.0484
38  0.0106  0.0586
39  0.0103  0.0440
40  0.0092  0.0523
41  0.0091  0.0491
42  0.0091  0.0400
43  0.0075  0.0501
44  0.0079  0.0442
45  0.0087  0.0497
46  0.0102  0.0471
47  0.0105  0.0469
48  0.0113  0.0427
49  0.0099  0.0354
50  0.0098  0.0303
51  0.0089  0.0391
52  0.0086  0.0303
53  0.0082  0.0323
54  0.0093  0.0305
55  0.0095  0.0289
56  0.0097  0.0366
57  0.0093  0.0454
58  0.0090  0.0499
59  0.0100  0.0514
60  0.0096  0.0528
61  0.0115  0.0459
62  0.0101  0.0431
63  0.0098  0.0398
64  0.0093  0.0299
65  0.0084  0.0266
66  0.0080  0.0286
67  0.0090  0.0408
68  0.0080  0.0407
69  0.0086  0.0452
70  0.0080  0.0501
71  0.0087  0.0525
72  0.0080  0.0505
73  0.0092  0.0429
74  0.0089  0.0483
75  0.0113  0.0501
76  0.0105  0.0551
77  0.0116  0.0499
78  0.0127  0.0535
79  0.0127  0.0673
80  0.0115  0.0480
81  0.0115  0.0506
82  0.0105  0.0377
83  0.0107  0.0388
84  0.0086  0.0258
85  0.0080  0.0281
86  0.0084  0.0313
87  0.0096  0.0539
88  0.0104  0.0687
89  0.0108  0.0677
90  0.0117  0.0539
91  0.0117  0.0516
92  0.0114  0.0431
93  0.0106  0.0441
94  0.0118  0.0500
95  0.0117  0.0460
96  0.0120  0.0503
97  0.0123  0.0477
98  0.0122  0.0585
99  0.0115  0.0568
100  0.0114  0.0548
101  0.0122  0.0661
102  0.0123  0.0641
103  0.0124  0.0607
104  0.0127  0.0591
105  0.0118  0.0590
106  0.0119  0.0545
107  0.0120  0.0564
108  0.0113  0.0520
109  0.0108  0.0563
110  0.0114  0.0456
111  0.0116  0.0446
112  0.0113  0.0469
113  0.0107  0.0581
114  0.0120  0.0611
115  0.0119  0.0648
116  0.0117  0.0512
117  0.0107  0.0407
118  0.0102  0.0315
119  0.0102  0.0481
120  0.0087  0.0446
121  0.0089  0.0352
122  0.0103  0.0354
123  0.0086  0.0264
124  0.0070  0.0339
125  0.0087  0.0437
126  0.0097  0.0443
127  0.0115  0.0438
128  0.0120  0.0528
129  0.0110  0.0392
130  0.0094  0.0245
131  0.0084  0.0409
132  0.0088  0.0488
133  0.0093  0.0505
134  0.0085  0.0418
135  0.0090  0.0449
136  0.0085  0.0370
137  0.0088  0.0424
138  0.0097  0.0401
139  0.0088  0.0361
140  0.0096  0.0326
141  0.0083  0.0252
142  0.0083  0.0325
143  0.0081  0.0282
144  0.0080  0.0271
145  0.0070  0.0420
146  0.0078  0.0418
147  0.0076  0.0494
148  0.0092  0.0591
149  0.0099  0.0571
150  0.0102  0.0735
