0	p	q
0  0.5063  0.5562
1  0.4689  0.4620
2  0.4358  0.3605
3  0.3884  0.3128
4  0.3366  0.2898
5  0.2879  0.2731
6  0.2442  0.2408
7  0.2124  0.2464
8  0.1840  0.2073
9  0.1582  0.1750
10  0.1351  0.1626
11  0.1137  0.1452
12  0.0973  0.1384
13  0.0806  0.1302
14  0.0685  0.0988
15  0.0593  0.1033
16  0.0500  0.0961
17  0.0426  0.0742
18  0.0346  0.0515
19  0.0273  0.0549
20  0.0234  0.0548
21  0.0194  0.0624
22  0.0167  0.0497
23  0.0163  0.0587
24  0.0162  0.0473
25  0.0151  0.0549
26  0.0154  0.0439
27  0.0165  0.0442
28  0.0143  0.0400
29  0.0120  0.0553
30  0.0140  0.0493
31  0.0124  0.0551
32  0.0129  0.0367
33  0.0112  0.0384
34  0.0107  0.0343
35  0.0106  0.0366
36  0.0121  0.0534
37  0.0115  0.0665
38  0.0114  0.0703
39  0.0111  0.0536
40  0.0111  0.0587
41  0.0101  0.0556
42  0.0096  0.0472
43  0.0079  0.0505
44  0.0087  0.0524
45  0.0088  0.0548
46  0.0094  0.0521
47  0.0095  0.0586
48  0.0115  0.0458
49  0.0089  0.0366
50  0.0097  0.0347
51  0.0085  0.0324
52  0.0090  0.0231
53  0.0068  0.0301
54  0.0085  0.0268
55  0.0092  0.0268
56  0.0080  0.0314
57  0.0086  0.0437
58  0.0086  0.0477
59  0.0091  0.0481
60  0.0083  0.0461
61  0.0095  0.0453
62  0.0072  0.0334
63  0.0073  0.0377
64  0.0082  0.0308
65  0.0077  0.0202
66  0.0072  0.0176
67  0.0088  0.0254
68  0.0078  0.0274
69  0.0071  0.0292
70  0.0063  0.0461
71  0.0074  0.0560
72  0.0066  0.0494
73  0.0092  0.0317
74  0.0086  0.0589
75  0.0121  0.0643
76  0.0118  0.0669
77  0.0132  0.0669
78  0.0144  0.0791
79  0.0153  0.0982
80  0.0142  0.0690
81  0.0140  0.0645
82  0.0149  0.0508
83  0.0150  0.0499
84  0.0124  0.0364
85  0.0113  0.0362
86  0.0120  0.0294
87  0.0127  0.0655
88  0.0126  0.0837
89  0.0141  0.0720
90  0.0144  0.0558
91  0.0143  0.0521
92  0.0122  0.0435
93  0.0116  0.0404
94  0.0110  0.0505
95  0.0104  0.0678
96  0.0121  0.0736
97  0.0121  0.0620
98  0.0139  0.0772
99  0.0144  0.0804
100  0.0144  0.0691
101  0.0156  0.0683
102  0.0138  0.0614
103  0.0129  0.0555
104  0.0142  0.0515
105  0.0148  0.0626
106  0.0147  0.0585
107  0.0150  0.0701
108  0.0150  0.0662
109  0.0139  0.0684
110  0.0140  0.0425
111  0.0137  0.0510
112  0.0120  0.0568
113  0.0120  0.0724
114  0.0135  0.0793
115  0.0146  0.0926
116  0.0153  0.0764
117  0.0141  0.0465
118  0.0140  0.0327
119  0.0134  0.0458
120  0.0106  0.0469
121  0.0105  0.0386
122  0.0103  0.0322
123  0.0081  0.0331
124  0.0060  0.0361
125  0.0081  0.0425
126  0.0106  0.0477
127  0.0144  0.0427
128  0.0152  0.0472
129  0.0139  0.0302
130  0.0109  0.0199
131  0.0096  0.0475
132  0.0096  0.0403
133  0.0099  0.0329
134  0.0081  0.0315
135  0.0096  0.0368
136  0.0086  0.0283
137  0.0105  0.0357
138  0.0111  0.0473
139  0.0102  0.0300
140  0.0092  0.0294
141  0.0080  0.0276
142  0.0089  0.0338
143  0.0083  0.0247
144  0.0083  0.0298
145  0.0074  0.0425
146  0.0084  0.0425
147  0.0077  0.0526
148  0.0086  0.0675
149  0.0109  0.0492
150  0.0111  0.0678
