0 	 com	lead	chief
0  0.5059  0.5000  0.4619
1  0.2320  0.6354  0.4496
2  0.2296  0.7611  0.4135
3  0.2316  0.8622  0.3876
4  0.2341  0.9555  0.3555
5  0.2362  1.0213  0.3352
6  0.2369  1.0797  0.3015
7  0.2394  1.1254  0.2546
8  0.2407  1.1576  0.2478
9  0.2425  1.1846  0.2229
10  0.2427  1.2008  0.2026
11  0.2429  1.2106  0.1910
12  0.2436  1.2205  0.1900
13  0.2437  1.2286  0.1574
14  0.2456  1.2373  0.1592
15  0.2430  1.2448  0.1666
16  0.2450  1.2467  0.1381
17  0.2447  1.2473  0.1355
18  0.2460  1.2508  0.1309
19  0.2467  1.2514  0.1088
20  0.2454  1.2542  0.1211
21  0.2474  1.2565  0.1226
22  0.2476  1.2574  0.1112
23  0.2467  1.2616  0.1196
24  0.2472  1.2620  0.1291
25  0.2485  1.2653  0.1316
26  0.2467  1.2658  0.1595
27  0.2484  1.2654  0.1608
28  0.2495  1.2682  0.1452
29  0.2480  1.2687  0.1364
30  0.2485  1.2674  0.1202
31  0.2491  1.2659  0.1365
32  0.2497  1.2660  0.1331
33  0.2495  1.2676  0.1455
34  0.2487  1.2698  0.1441
35  0.2486  1.2694  0.1352
36  0.2489  1.2687  0.1230
37  0.2494  1.2694  0.1407
38  0.2481  1.2670  0.1348
39  0.2479  1.2673  0.1268
40  0.2492  1.2688  0.1323
41  0.2499  1.2689  0.1301
42  0.2490  1.2684  0.1135
43  0.2471  1.2685  0.1009
44  0.2489  1.2678  0.1089
45  0.2489  1.2682  0.1167
46  0.2492  1.2686  0.1242
47  0.2501  1.2709  0.1299
48  0.2490  1.2733  0.1295
49  0.2487  1.2708  0.1183
50  0.2484  1.2692  0.1353
51  0.2499  1.2710  0.1304
52  0.2519  1.2705  0.1240
53  0.2496  1.2722  0.1236
54  0.2502  1.2722  0.1293
55  0.2491  1.2723  0.1275
56  0.2495  1.2700  0.1413
57  0.2486  1.2708  0.1428
58  0.2497  1.2695  0.1480
59  0.2489  1.2692  0.1256
60  0.2482  1.2705  0.1182
61  0.2506  1.2703  0.1256
62  0.2502  1.2709  0.1370
63  0.2469  1.2706  0.1370
64  0.2495  1.2689  0.1136
65  0.2484  1.2688  0.1082
66  0.2492  1.2686  0.0932
67  0.2475  1.2689  0.1063
68  0.2470  1.2687  0.1071
69  0.2490  1.2697  0.1141
70  0.2497  1.2695  0.1204
71  0.2497  1.2704  0.1219
72  0.2470  1.2719  0.1174
73  0.2489  1.2725  0.1228
74  0.2489  1.2723  0.1153
75  0.2499  1.2715  0.1205
76  0.2491  1.2712  0.1311
77  0.2496  1.2710  0.1274
78  0.2472  1.2711  0.1170
79  0.2489  1.2705  0.1381
80  0.2497  1.2695  0.1537
81  0.2482  1.2689  0.1442
82  0.2479  1.2701  0.1499
83  0.2500  1.2693  0.1502
84  0.2466  1.2695  0.1395
85  0.2484  1.2690  0.1516
86  0.2494  1.2706  0.1430
87  0.2492  1.2693  0.1291
88  0.2492  1.2689  0.1681
89  0.2487  1.2701  0.1552
90  0.2475  1.2705  0.1565
91  0.2481  1.2694  0.1490
92  0.2485  1.2688  0.1762
93  0.2487  1.2698  0.1687
94  0.2495  1.2693  0.1729
95  0.2485  1.2703  0.1753
96  0.2489  1.2706  0.1694
97  0.2480  1.2704  0.1718
98  0.2485  1.2701  0.1716
99  0.2476  1.2707  0.1692
100  0.2494  1.2694  0.1594
101  0.2472  1.2693  0.1608
102  0.2486  1.2690  0.1554
103  0.2486  1.2689  0.1495
104  0.2490  1.2704  0.1445
105  0.2485  1.2710  0.1438
106  0.2487  1.2729  0.1479
107  0.2497  1.2715  0.1355
108  0.2487  1.2720  0.1319
109  0.2502  1.2708  0.1384
110  0.2494  1.2705  0.1494
111  0.2489  1.2690  0.1306
112  0.2482  1.2693  0.1098
113  0.2466  1.2698  0.1242
114  0.2480  1.2674  0.1380
115  0.2494  1.2672  0.1720
116  0.2502  1.2687  0.1674
117  0.2489  1.2687  0.1438
118  0.2477  1.2691  0.1450
119  0.2500  1.2685  0.1549
120  0.2482  1.2678  0.1480
121  0.2480  1.2683  0.1640
122  0.2480  1.2704  0.1939
123  0.2482  1.2704  0.1863
124  0.2481  1.2716  0.1675
125  0.2485  1.2702  0.1643
126  0.2487  1.2706  0.1759
127  0.2487  1.2710  0.1767
128  0.2482  1.2694  0.1635
129  0.2499  1.2707  0.1651
130  0.2484  1.2712  0.1530
131  0.2500  1.2716  0.1550
132  0.2504  1.2716  0.1469
133  0.2497  1.2704  0.1607
134  0.2489  1.2692  0.1704
135  0.2471  1.2702  0.1564
136  0.2485  1.2701  0.1520
137  0.2484  1.2698  0.1492
138  0.2479  1.2696  0.1402
139  0.2491  1.2693  0.1393
140  0.2482  1.2701  0.1466
141  0.2496  1.2709  0.1233
142  0.2494  1.2704  0.1209
143  0.2480  1.2708  0.1219
144  0.2497  1.2699  0.1282
145  0.2482  1.2700  0.1182
146  0.2496  1.2710  0.1218
147  0.2490  1.2701  0.1161
148  0.2477  1.2701  0.1154
149  0.2469  1.2706  0.1198
150  0.2482  1.2702  0.1552
