0 	 com	lead	chief
0  0.5070  0.5069  0.4758
1  0.2338  0.6391  0.4741
2  0.2288  0.7668  0.4763
3  0.2325  0.8675  0.4411
4  0.2345  0.9607  0.4144
5  0.2345  1.0217  0.3985
6  0.2357  1.0825  0.3452
7  0.2380  1.1296  0.2858
8  0.2405  1.1587  0.2616
9  0.2412  1.1813  0.2651
10  0.2415  1.2017  0.2393
11  0.2412  1.2108  0.2171
12  0.2437  1.2220  0.1862
13  0.2430  1.2272  0.1410
14  0.2442  1.2399  0.1347
15  0.2440  1.2437  0.1656
16  0.2422  1.2487  0.1283
17  0.2430  1.2473  0.1107
18  0.2462  1.2484  0.1165
19  0.2452  1.2514  0.1071
20  0.2455  1.2535  0.1082
21  0.2462  1.2554  0.1104
22  0.2487  1.2556  0.0855
23  0.2447  1.2609  0.1039
24  0.2470  1.2608  0.1029
25  0.2480  1.2623  0.1188
26  0.2450  1.2630  0.1311
27  0.2492  1.2637  0.1399
28  0.2505  1.2681  0.1316
29  0.2482  1.2709  0.1259
30  0.2507  1.2672  0.1182
31  0.2490  1.2662  0.1400
32  0.2512  1.2658  0.1439
33  0.2500  1.2649  0.1373
34  0.2475  1.2668  0.1339
35  0.2470  1.2679  0.1436
36  0.2492  1.2670  0.1121
37  0.2477  1.2673  0.1303
38  0.2475  1.2649  0.1024
39  0.2452  1.2656  0.1026
40  0.2482  1.2671  0.0976
41  0.2497  1.2673  0.0887
42  0.2505  1.2661  0.0815
43  0.2485  1.2692  0.0955
44  0.2490  1.2696  0.1057
45  0.2502  1.2687  0.1070
46  0.2512  1.2677  0.1193
47  0.2515  1.2686  0.1135
48  0.2477  1.2705  0.1129
49  0.2487  1.2679  0.0928
50  0.2482  1.2682  0.1133
51  0.2485  1.2701  0.1076
52  0.2525  1.2698  0.0999
53  0.2492  1.2710  0.1158
54  0.2522  1.2701  0.1388
55  0.2500  1.2714  0.1379
56  0.2497  1.2698  0.1568
57  0.2485  1.2709  0.1901
58  0.2510  1.2699  0.1819
59  0.2485  1.2696  0.1576
60  0.2485  1.2712  0.1276
61  0.2515  1.2710  0.1173
62  0.2505  1.2728  0.1446
63  0.2472  1.2701  0.1397
64  0.2500  1.2692  0.1086
65  0.2490  1.2675  0.1166
66  0.2510  1.2677  0.0872
67  0.2470  1.2674  0.0837
68  0.2480  1.2686  0.0957
69  0.2487  1.2707  0.1026
70  0.2500  1.2696  0.1036
71  0.2490  1.2689  0.1193
72  0.2465  1.2713  0.1226
73  0.2500  1.2718  0.1212
74  0.2482  1.2727  0.0886
75  0.2502  1.2723  0.0829
76  0.2487  1.2714  0.1090
77  0.2500  1.2705  0.1202
78  0.2475  1.2710  0.1044
79  0.2482  1.2692  0.1153
80  0.2500  1.2670  0.1062
81  0.2485  1.2676  0.1146
82  0.2480  1.2701  0.1143
83  0.2505  1.2702  0.1176
84  0.2460  1.2700  0.1226
85  0.2467  1.2693  0.1245
86  0.2497  1.2720  0.1165
87  0.2492  1.2697  0.1173
88  0.2507  1.2698  0.1541
89  0.2500  1.2713  0.1506
90  0.2482  1.2726  0.1413
91  0.2470  1.2709  0.1467
92  0.2490  1.2688  0.1683
93  0.2487  1.2701  0.1781
94  0.2502  1.2701  0.1783
95  0.2482  1.2710  0.1670
96  0.2497  1.2742  0.1648
97  0.2472  1.2726  0.1626
98  0.2477  1.2700  0.1492
99  0.2475  1.2704  0.1320
100  0.2502  1.2701  0.1465
101  0.2477  1.2703  0.1510
102  0.2492  1.2696  0.1412
103  0.2497  1.2695  0.1309
104  0.2492  1.2715  0.1089
105  0.2482  1.2718  0.1061
106  0.2492  1.2737  0.1179
107  0.2505  1.2729  0.1137
108  0.2490  1.2735  0.1134
109  0.2510  1.2735  0.1290
110  0.2495  1.2736  0.1385
111  0.2495  1.2717  0.1111
112  0.2475  1.2706  0.0971
113  0.2452  1.2703  0.0930
114  0.2467  1.2672  0.1269
115  0.2480  1.2683  0.1448
116  0.2502  1.2676  0.1385
117  0.2502  1.2675  0.1058
118  0.2487  1.2673  0.1051
119  0.2487  1.2679  0.1280
120  0.2490  1.2683  0.1147
121  0.2480  1.2703  0.1259
122  0.2467  1.2709  0.1450
123  0.2482  1.2705  0.1492
124  0.2482  1.2712  0.1448
125  0.2482  1.2702  0.1557
126  0.2485  1.2705  0.1717
127  0.2490  1.2718  0.1530
128  0.2490  1.2698  0.1691
129  0.2487  1.2708  0.1573
130  0.2492  1.2707  0.1388
131  0.2510  1.2716  0.1462
132  0.2502  1.2726  0.1252
133  0.2492  1.2708  0.1334
134  0.2487  1.2697  0.1622
135  0.2487  1.2712  0.1520
136  0.2485  1.2704  0.1492
137  0.2482  1.2702  0.1413
138  0.2495  1.2698  0.1402
139  0.2520  1.2697  0.1360
140  0.2487  1.2698  0.1351
141  0.2492  1.2693  0.0862
142  0.2505  1.2702  0.0872
143  0.2497  1.2706  0.1199
144  0.2502  1.2696  0.1357
145  0.2500  1.2712  0.1367
146  0.2485  1.2719  0.1369
147  0.2510  1.2697  0.1237
148  0.2467  1.2698  0.1115
149  0.2467  1.2707  0.1157
150  0.2477  1.2691  0.1496
